"","layer","mean_elev","median_elev","min_elev","max_elev","quant25","quant75"
"27",NA,3.62909090909091,3.96,0,7.07,1.615,5.46
"28",NA,5.09091627172196,3.6,-2.02,34.4,0,6.9475
"29",NA,2.07362048894063,0,-2.22,26.29,0,3.05
"30",NA,0.705934321418192,0,-2.45,14.6,0,0.79
"31",NA,10.5396899224806,3.685,-2.78,54.1,1.03,14.74
"32",NA,35.2175580110497,28.83,0,94.91,8.45,61.235
"33",NA,37.8059951549152,36.64,0,103.94,19.535,49.47
"34",NA,34.6075318720644,35.335,0,97.37,11.01,51.4675
"35",NA,30.1168719399412,7.6,-0.78,111.04,2.18,58.265
"36",NA,30.467414411477,20,-1.16,109.84,2.94,53.65
"37",NA,26.42216559793,23.95,-0.01,94.98,5.47,40.19
"38",NA,19.1332397191575,17.28,-1.03,54.04,2.27,30.7575
"39",NA,2.89203921568627,2.8,-0.01,9.14,1.865,3.86
"40",NA,2.754,2.85,-0.01,5.2,1.785,3.87
"112",NA,19.484016,19.02,0,39.01,16.82,21.81
"113",NA,5.77206702789484,2.23,-0.24,46.84,0.25,6.52
"114",NA,8.10145508172545,2.61,-3.49,101,0.2,10.5
"115",NA,6.95033291192583,1.93,-2.99,78.97,0.5,10.53
"116",NA,8.93882749894559,1.75,-1.93,70.71,0,13.8225
"117",NA,11.5940663856691,2.37,-3.57,86.64,1.05,16.42
"118",NA,29.4436302308422,27.16,-0.46,78.1,6.31,46.84
"119",NA,75.1799842022117,76.86,23.47,119.06,63.9,89
"120",NA,85.6598777016342,89.09,35.91,125.06,69.03,102.54
"121",NA,95.7661686874012,99.33,42.64,173.72,77.67,112.22
"122",NA,59.4348298387946,53.26,3.72,128.09,34.12,86.53
"123",NA,59.826734779861,63.425,15.43,116.21,42.315,73.9475
"124",NA,53.3567296327564,55.675,1.33,123,34.3975,75.3325
"125",NA,15.5329072444144,11.6,-0.3,68.66,2.68,24.86
"126",NA,4.61910526315789,1.935,-0.01,25.66,0.89,7.1825
"127",NA,2.08347048300537,1.72,-0.65,9.1,0.97,2.695
"128",NA,4.12333664349553,3.755,-0.01,22.14,2.68,4.86
"195",NA,3.91193306693307,2.82,-0.92,24.73,1.2125,5.19
"196",NA,4.3022346899962,3.47,-0.28,25.74,1.2025,6.8275
"197",NA,12.4772745805238,7.12,-0.76,60.13,2.7,18.36
"198",NA,15.4697286924299,13.805,-1.59,48.05,5.9,22.1925
"199",NA,23.2610772910099,21.84,0,51.12,13.275,33.88
"200",NA,31.6923629489603,26.06,5.22,73.82,19.1,38.8075
"201",NA,53.9529421661409,64.655,7.44,85.9,28.085,76.9875
"202",NA,53.5666551071879,56.385,5.18,84.47,38.09,70.575
"203",NA,65.4001597813518,69.12,5.35,94.32,55.61,75.48
"204",NA,54.6833928383913,64.98,4.68,103.1,34.55,74.8
"205",NA,32.2240969811718,18.7,4.04,111.71,10.785,55.07
"206",NA,51.6347398297067,44.57,12.5,142.95,25.19,69.96
"207",NA,86.1735003676857,86.17,21.03,195.98,37.12,119.295
"208",NA,109.96061357428,111.405,31.99,215.72,62.78,151.335
"209",NA,114.175207654295,104.2,36.3,205.3,82.575,150.495
"210",NA,126.846031361819,127.3,20.59,216.78,93.9175,166.385
"211",NA,130.762020997375,147.64,6.9,226.56,104.54,169.86
"212",NA,74.7154609481762,63.56,3.92,182.6,18.49,128.64
"213",NA,39.4373336115168,38.79,-0.01,145.27,11.63,55.72
"215",NA,2.81852272727273,2.365,-0.01,8.41,1.7025,3.675
"280",NA,1.86166666666667,1.745,0.52,3.4,0.9375,2.755
"281",NA,3.40697602658438,2.03,-1.04,27.39,1.2,3.78
"282",NA,15.5776226136483,11.56,-1.55,70.67,6.02,23.9
"283",NA,24.0507056113903,24.75,1.03,66.24,17.8,29.42
"284",NA,24.5882899979031,24.04,2.16,50.26,19.61,28.9
"285",NA,40.4854233913226,41.96,15.88,64.23,32.47,48.79
"286",NA,50.2875214659686,50.54,26.21,68.6,45.9225,55.61
"287",NA,45.5303649328859,42.955,11.07,87.76,27,64.3
"288",NA,73.8438703257568,73.73,36.5,122.97,66.83,79.81
"289",NA,84.4622997903564,85.995,51.03,119.11,77.7,91.54
"290",NA,83.0974240201216,82.25,47.62,141.2,76.24,89.8
"291",NA,98.1973506602389,96.58,34.32,143.57,88.2025,110.685
"292",NA,112.667597150937,119.15,17.31,179.67,92.375,138.085
"293",NA,135.010777136864,145.5,48.52,188.43,117.145,154.09
